Australia	62.7	62.1	63.3	59.7
Austria	0	52.8	53.1	54.6
Belgium	30.4	30.3	27.5	25.3
Canada	61.3	56.2	57.7	54.5
Chile	0	26.4	25.4	31.1
CzechRepublic	0	38.3	27.3	25.2
Denmark	65.0	67.1	62.3	55.0
Estonia	51.7	32.9	29.8	34.3
Finland	55.2	42.9	42.1	43.3
France	35.7	28.3	30.2	28.8
Germany	56.4	47.2	42.6	46.6
Greece	30.3	26.9	25.0	13.1
Hungary	0	32.5	21.8	18.6
Iceland	0	68.2	71.6	66.0
Ireland	41.4	49.3	47.8	27.9
Israel	23.6	28.2	26.6	43.5
Italy	29.8	27.8	25.5	20.5
Japan	42.2	42.7	40.9	38.5
Korea	32.5	29.4	29.9	24.2
Luxembourg	43.3	31.8	24.9	21.7
Mexico	0	48.9	43.7	43.1
Netherlands	54.5	66.5	61.7	63.3
NewZealand	59.1	54.2	56.4	49.5
Norway	53.4	58.1	52.9	52.7
Poland	0	24.5	20.9	24.7
Portugal	51.2	41.8	36.1	23.6
SlovakRepublic	0	29.0	25.6	20.1
Slovenia	0	0	34.1	27.3
Spain	38.3	36.3	41.9	20.0
Sweden	66.1	46.7	43.3	40.0
Switzerland	0	65.1	59.9	61.7
Turkey	45.9	37.0	30.2	31.5
UnitedKingdom	70.1	61.5	58.7	50.0
UnitedStates	59.8	59.7	53.9	46.0
Brazil	0	0	52.7	50.0
China	0	61.9	0	53.7
India	0	0	0	33.1
Indonesia	0	0	0	0
RussianFederation	0	34.3	33.1	33.7
SouthAfrica	0	0	15.0	12.2
